0.01	1	0.986156
0.1	2	0.986083
0.2	93	0.986006
0.32	123	0.981991
0.32	124	0.978943
0.35	165	0.978739
0.36	193	0.9787
0.42	338	0.978458
0.49	506	0.9784
0.5	523	0.978132
0.54	640	0.978098
0.65	918	0.977827
0.67	972	0.977536
0.71	1098	0.976607
0.83	1384	0.975984
1.31	2475	0.97594
1.37	2640	0.975858
1.41	2742	0.97577
1.48	2927	0.975545
1.49	2928	0.975004
1.5	2956	0.973564
1.78	3649	0.972963
2.32	4602	0.971931
2.46	4650	0.971457
2.49	4655	0.971128
2.51	4667	0.968376
2.56	4736	0.967861
2.57	4744	0.96601
2.64	4806	0.965033
2.92	5185	0.962092
3.06	5316	0.958345
3.41	5666	0.958165
3.65	5910	0.954466
4.6	6799	0.954156
4.62	6807	0.95297
5.63	7710	0.948236
5.78	7829	0.947306
5.81	7860	0.944924
5.95	7960	0.941022
6.99	8706	0.940716
10.61	11309	0.939913
12.7	12804	0.93852
22.12	19467	0.935588
27.82	23136	0.934421
29.06	23974	0.933965
33.79	26883	0.932297
43.21	32314	0.930981
44.08	32724	0.929581
48	35038	0.922531
49.48	35873	0.920846
49.77	36023	0.918909
49.8	36031	0.910277
51.36	36827	0.906728
51.61	36947	0.901214
52.67	37454	0.895594
56.36	39162	0.894098
95.84	55672	0.890331
96.71	55963	0.888322
97.18	56138	0.885521
99.29	56906	0.881232
123.27	65571	0.880835
126.62	66774	0.880074
126.64	66775	0.879163
