1,0.218057,(0) 0 (0f0)
2,0.206943,(0) 0 (0f2)
28,0.186824,(0) 0 (0f0) 1 (1f0) 1 (2f0)
250,0.176903,(0) 0 (0f0) 1 (1f0) 0 (2f0) 1 (3f0) 1 (4f1) 1 (1f0)
439,0.172742,(0) 0 (0f0) 1 (1f0) 0 (2f0) 1 (3f0) 1 (4f2) 1 (1f0)
693,0.156286,(0) 1 (0f0) 1 (1f0) 1 (2f0)
707,0.14945,(0) 0 (0f0) 1 (1f0) 1 (2f0) 1 (3f0)
736,0.141307,(0) 0 (0f0) 1 (1f0) 1 (2f0) 1 (0f0) 1 (0f0)
869,0.141131,(0) 0 (0f0) 1 (1f0) 0 (2f0) 1 (3f0) 1 (3f0) 1 (2f0)
978,0.138924,(0) 0 (0f0) 1 (1f0) 1 (2f0) 1 (3f0) 0 (4f0)
994,0.138896,(0) 0 (0f0) 1 (1f0) 1 (2f0) 1 (3f0) 1 (1f0)
1127,0.130578,(0) 0 (0f0) 1 (1f0) 1 (2f0) 1 (1f0) 1 (0f0) 1 (0f0)
