0,1,0.999912,(1) 1 (0f1)
0.14,2,0.984645,(1) 1 (0f1) 1 (1f1)
0.27,5,0.936421,(1) 1 (0f1) 1 (1f1) 1 (2f1)
6.72,3641,0.932693,(1) 1 (0f1) 1 (1f1) 1 (2f1) 1 (3f1) 1 (4f1) 1 (5f1) 2 (6f1) 1 (7f1) 1 (8f2)
6.73,3647,0.930265,(1) 1 (0f1) 1 (1f1) 1 (2f1) 1 (3f1) 1 (4f1) 1 (5f1) 2 (6f1) 1 (7f1) 1 (8f2) 1 (9f1)
16.96,10872,0.923372,(1) 1 (0f1) 1 (1f1) 1 (2f1) 1 (3f1) 1 (4f2) 1 (5f1) 1 (6f1) 1 (7f1) 1 (8f1)
26.59,17674,0.922597,(1) 1 (0f1) 1 (1f1) 1 (2f1) 1 (3f1) 2 (3f1) 1 (5f1) 1 (6f2)
43.1,29477,0.917886,(1) 1 (0f1) 1 (1f1) 1 (2f1) 2 (2f1) 1 (4f1) 1 (5f1)
65,44270,0.905851,(1) 1 (0f1) 1 (1f2) 1 (2f1) 1 (0f2)
