0,1,0.999912,(1) 1 (0f1)
0.05,2,0.986863,(1) 1 (0f2)
0.12,6,0.982338,(1) 1 (0f6)
0.7,140,0.936421,(1) 1 (0f1) 1 (1f1) 1 (2f1)
