0	1	0.794898
0	3	0.789617
0.03	26	0.787629
0.04	45	0.785806
0.11	93	0.746605
0.55	121	0.742573
0.57	136	0.738302
16.84	6893	0.724347
66.8	26786	0.724299
66.85	26797	0.722206
66.85	26800	0.720055
66.97	26847	0.718313
67.2	26957	0.716975
68.28	27336	0.715617
69.31	27712	0.714237
575.75	164077	0.71411
588.28	169931	0.713894
588.38	169961	0.709085
