0	1	0.794898
0	25	0.789617
0	27	0.786222
0	30	0.785352
0	31	0.784871
0	34	0.78301
0.08	373	0.782989
0.1	453	0.78278
0.12	581	0.782537
0.18	787	0.782262
0.19	825	0.782113
0.19	831	0.777711
0.3	1264	0.777627
0.55	2187	0.776715
0.61	2364	0.776504
1.13	4309	0.775471
10.46	48767	0.774101
10.46	48779	0.771477
10.47	48837	0.770935
10.47	48840	0.7683
10.48	48886	0.766708
10.48	48903	0.765452
10.49	48979	0.763516
10.5	49063	0.761917
10.56	49451	0.75227
10.59	49647	0.750653
10.68	50063	0.736232
10.7	50153	0.727814
11.33	52273	0.720892
11.54	52824	0.719473
11.95	54011	0.717829
11.95	54012	0.716391
11.96	54031	0.714929
23.54	83536	0.714237
27.71	94536	0.713894
27.71	94537	0.709085
27.71	94561	0.707844
